Keyword,ICICI URL,Kotak URL,HDFC URL,SBI URL,ICICI Ranking,Kotak Ranking,HDFC Ranking,SBI Ranking
term insurance,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/,,,,
term plan,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term plans,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term insurance calculator,https://www.iciciprulife.com/term-insurance-plans/iprotect-smart-term-insurance-calculator.html,https://www.kotaklife.com/financial-tools-calculators/term-insurance-calculator,https://www.hdfclife.com/term-insurance-plans/term-insurance-calculator,https://smartcare.sbilife.co.in/epolicy/eShieldNext_AB/UI/PersonalDetailsMinor.aspx,Not Found,Not Found,Not Found,Not Found
life insurance,https://www.iciciprulife.com/life-insurance.html,https://www.kotaklife.com/,https://www.hdfclife.com/,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
life insurance policy,https://www.iciciprulife.com/life-insurance.html,https://www.kotaklife.com/,https://www.hdfclife.com/life-insurance-plans,https://www.sbilife.co.in/,,,,
life insurance plans,https://www.iciciprulife.com/life-insurance.html,https://www.kotaklife.com/,https://www.hdfclife.com/,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
health insurance plans,https://www.iciciprulife.com/health-insurance/health-insurance-plans.html,https://www.kotaklife.com/insurance-plans/health-plans,https://www.hdfclife.com/health-insurance-plans,https://www.sbilife.co.in/en/individual-life-insurance/protection-plans,Not Found,Not Found,Not Found,Not Found
ulip,https://www.iciciprulife.com/insurance-library/ulips/what-are-ulips.html,https://www.kotaklife.com/ulip-plans,https://www.hdfclife.com/ulip-plans,https://www.sbilife.co.in/en/individual-life-insurance/wealth-creation-plans,Not Found,Not Found,Not Found,Not Found
pension plan,https://www.iciciprulife.com/retirement-pension-plans.html,https://www.kotaklife.com/retirement-and-pension-plans,https://www.hdfclife.com/retirement-and-pension-plans,https://www.sbilife.co.in/en/life-insurance/retirement-pension-plans,2,26,1,4
how to save money,https://www.iciciprulife.com/investments/how-to-save-money.html,https://www.kotaklife.com/,https://www.hdfclife.com/investment-plans/how-to-save-money,https://www.sbilife.co.in/,,,,
child plans,https://www.iciciprulife.com/child-insurance/child-insurance-plans.html,We do not target this keyword,https://www.hdfclife.com/children-insurance-plans,https://www.sbilife.co.in/en/individual-life-insurance/child-plans,Not Found,Not Found,Not Found,Not Found
child plan,https://www.iciciprulife.com/child-insurance/child-insurance-plans.html,We do not target this keyword,https://www.hdfclife.com/children-insurance-plans,https://www.sbilife.co.in/en/individual-life-insurance/child-plans,Not Found,Not Found,Not Found,Not Found
savings plan,https://www.iciciprulife.com/protection-saving-plans.html,https://www.kotaklife.com/savings-plan,https://www.hdfclife.com/savings-plans,https://www.sbilife.co.in/en/individual-life-insurance/savings-plans,Not Found,Not Found,Not Found,Not Found
endowment policy,https://www.iciciprulife.com/,https://www.kotaklife.com/insurance-guide/savingstax/what-is-endowment-plan,https://www.hdfclife.com/investment-plans/endowment-policy,https://www.sbilife.co.in/en/knowledge-centre/insurance-basics-financial-advice/what-is-an-endowment-plan,Not Found,Not Found,Not Found,Not Found
single premium policy,https://www.iciciprulife.com/term-insurance/single-premium-term-insurance.html,https://www.kotaklife.com/term-insurance/single-premium-term-insurance,https://www.hdfclife.com/insurance-knowledge-centre/about-life-insurance/single-premium-insurance,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
one time investment,https://www.iciciprulife.com/investments/one-time-investment.html,https://www.kotaklife.com/,https://www.hdfclife.com/investment-plans/one-time-investment-plans,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term plan online,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/en/online-insurance-plans/eshield-next,Not Found,Not Found,Not Found,Not Found
1 cr term insurance,https://www.iciciprulife.com/term-insurance-plans/buy-1-crore-term-insurance.html,https://www.kotaklife.com/term-insurance/1-crore-term-insurance,https://www.hdfclife.com/term-insurance-plans/1-crore-term-insurance,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
pension calculator,https://www.iciciprulife.com/retirement-pension-plans/pension-calculator.html,https://www.kotaklife.com/,https://www.hdfclife.com/retirement-and-pension-plans/pension-calculator,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
annuity,https://www.iciciprulife.com/insurance-library/insurance-basics/what-is-annuity.html,https://www.kotaklife.com/insurance-guide/retirement/what-is-annuity,https://www.hdfclife.com/retirement-and-pension-plans/what-is-annuity-and-types,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
money back policy,https://www.iciciprulife.com/,https://www.kotaklife.com/investment-plans/money-back-policy,https://www.hdfclife.com/investment-plans/money-back-plan,https://www.sbilife.co.in/en/individual-life-insurance/money-back-income-plans,Not Found,Not Found,Not Found,Not Found
guaranteed income plan,https://www.iciciprulife.com/protection-saving-plans/guaranteed-income-plan.html,https://www.kotaklife.com/insurance-guide/savingstax/difference-between-guaranteed-savings-plan-and-guaranteed-income-plan,https://www.hdfclife.com/savings-plans/guaranteed-income-insurance-plan,https://www.sbilife.co.in/en/individual-life-insurance/traditional/smart-platina-plus,Not Found,Not Found,Not Found,Not Found
child savings plan,https://www.iciciprulife.com/child-insurance/children-savings-plan.html,We do not target this keyword,https://www.hdfclife.com/children-insurance-plans/child-savings-plan,https://www.sbilife.co.in/en/individual-life-insurance/child-plans,Not Found,Not Found,Not Found,Not Found
child education plan,https://www.iciciprulife.com/child-insurance/child-insurance-plans.html,We do not target this keyword,https://www.hdfclife.com/children-insurance-plans,https://www.sbilife.co.in/en/individual-life-insurance/child-plans,Not Found,Not Found,Not Found,Not Found
cancer insurance,https://www.iciciprulife.com/,We do not target this keyword,https://www.hdfclife.com/health-insurance-plans/cancer-care-insurance,https://www.sbilife.co.in/,,,,
critical illness benefit,https://www.iciciprulife.com/health-insurance/what-is-critical-illness-insurance.html,We do not target this keyword,https://www.hdfclife.com/health-insurance-plans/critical-illness-insurance,https://www.sbilife.co.in/en/knowledge-centre/insurance-basics-financial-advice/what-is-a-critical-illness-insurance-cover,Not Found,Not Found,Not Found,Not Found
retirement calculator,https://www.iciciprulife.com/insurance-guide/financial-planning-tools-calculators/retirement-planning-calculator.html,https://www.kotaklife.com/financial-tools-calculators/retirement-calculator,https://www.hdfclife.com/retirement-and-pension-plans/retirement-calculator,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term plan with return of premium,https://www.iciciprulife.com/term-insurance-plans/return-of-premium-term-plan.html,https://www.kotaklife.com/term-insurance/term-plan-with-return-of-premium,https://www.hdfclife.com/term-insurance-plans/term-with-return-of-premium-plan,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term insurance with return of premium,https://www.iciciprulife.com/term-insurance-plans/return-of-premium-term-plan.html,https://www.kotaklife.com/term-insurance/term-plan-with-return-of-premium,https://www.hdfclife.com/term-insurance-plans/term-with-return-of-premium-plan,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term insurance plan,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/,,,,
term life insurance,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/en/online-insurance-plans/eshield-next,,,,
term insurance premium calculator,https://www.iciciprulife.com/term-insurance-plans/iprotect-smart-term-insurance-calculator.html,https://www.kotaklife.com/financial-tools-calculators/term-insurance-calculator,https://www.hdfclife.com/term-insurance-plans/term-insurance-calculator,https://smartcare.sbilife.co.in/epolicy/eShieldNext_AB/UI/PersonalDetailsMinor.aspx,,,,
term plan calculator,https://www.iciciprulife.com/term-insurance-plans/iprotect-smart-term-insurance-calculator.html,https://www.kotaklife.com/financial-tools-calculators/term-insurance-calculator,https://www.hdfclife.com/term-insurance-plans/term-insurance-calculator,https://smartcare.sbilife.co.in/epolicy/eShieldNext_AB/UI/PersonalDetailsMinor.aspx,Not Found,Not Found,Not Found,Not Found
best term insurance plan for 1 crore,https://www.iciciprulife.com/term-insurance-plans/buy-1-crore-term-insurance.html,https://www.kotaklife.com/term-insurance/1-crore-term-insurance,https://www.hdfclife.com/term-insurance-plans/1-crore-term-insurance,https://www.sbilife.co.in/en/online-insurance-plans/eshield-next,Not Found,Not Found,Not Found,Not Found
term life insurance calculator,https://www.iciciprulife.com/term-insurance-plans/iprotect-smart-term-insurance-calculator.html,https://www.kotaklife.com/financial-tools-calculators/term-insurance-calculator,https://www.hdfclife.com/term-insurance-plans/term-insurance-calculator,https://smartcare.sbilife.co.in/epolicy/eShieldNext_AB/UI/PersonalDetailsMinor.aspx,Not Found,Not Found,Not Found,Not Found
term life insurance plan,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/en/online-insurance-plans/eshield-next,Not Found,Not Found,Not Found,Not Found
term policy,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found
term plan premium calculator,https://www.iciciprulife.com/term-insurance-plans/iprotect-smart-term-insurance-calculator.html,https://www.kotaklife.com/financial-tools-calculators/term-insurance-calculator,https://www.hdfclife.com/term-insurance-plans/term-insurance-calculator,https://smartcare.sbilife.co.in/epolicy/eShieldNext_AB/UI/PersonalDetailsMinor.aspx,Not Found,Not Found,Not Found,Not Found
term life policy,https://www.iciciprulife.com/term-insurance.html,https://www.kotaklife.com/term-insurance,https://www.hdfclife.com/term-insurance-plans,https://www.sbilife.co.in/,Not Found,Not Found,Not Found,Not Found